ID,variations,Keywords,Volume
0,"pickup lines, tinder pickup lines, best pickup lines, best tinder pick up lines, best one night stand pick up lines, best chat up lines, bad pickup lines, tinder pickup lines for hookups, ai pickup lines, poop pickup lines, best flirty pick up lines, 10 best pick up lines, 101 best pick up lines, 18 pickup lines, 2022 best pickup lines, 2022 pickup lines, 40 best pick up lines",pickup lines,711396
5,"dirty pick up lines, hook up lines, chat up lines, cute pick up lines, electrician pick up lines, lord of the rings pick up lines, sexy pick up lines, great pick up lines, dirty chat up lines, flirt lines, cringy pick up lines, tinder chat up lines, lotr pick up lines, therapist pick up lines, hot pick up lines, flirty chat up lines, cheesiest pick up lines, halloween pick up lines, cringe pick up lines, dentist pick up lines, one night stand pick up lines, romantic pick up lines, christian pick up lines, handyman pick up lines, clever pick up lines, cringey pick up lines, bible pick up lines, sexy chat up lines, pick up lines to make him blush, disney pick up lines, science pick up lines, grocery store pick up lines, tinder pick up lines to get laid, pick up lines for her, pick up lines for hookups, insurance pick up lines, amazing pick up lines, top pick up lines, 10 10 pick up lines, 10 pick up lines, 100 best pick up lines, 100 pick up lines, 100 pick up lines for her, 100 worst pick up lines, 101 pick up lines, 18 pick up lines, 2 line pick up lines, 20 pick up lines, 2022 pick up lines",dirty pick up lines,438776
6,"cheesy pick up lines, cheesy pick up lines for her, cheesy pick up lines for him, best cheesy pick up lines, 100 cheesy pick up lines, 101 cheesy pick up lines",cheesy pick up lines,126655
3,"funny pick up lines, funny pick up lines for her, funny pick up lines for him",funny pick up lines,109709
2,"good pick up lines, pick up lines for flirting, best flirting lines, good tinder pick up lines, good flirting lines",good pick up lines,93365
4,"corny pick up lines, corny pick up lines for her, corny pick up lines for him",corny pick up lines,55527
9,"pick up lines for guys, pick up lines for flirting with guys, best pick up lines for guys, good pick up lines for guys, pick up lines to use on guys",pick up lines for guys,52404
1,"smooth pick up lines, smooth pick up lines for her",smooth pick up lines,42644
8,"pick up lines for dating apps, best dating app pick up lines, online flirting lines, best online pick up lines, online dating pick up lines, online pick up lines",pick up lines for dating apps,1264
7,"best hookup lines, hookup pickup lines, best hookup pick up lines",best hookup lines,891
